Name,Brand,Price,Link,,,,,,,,,,,
Off-White Embellished Sling Bag,Anekaant,"? 1,139",https://www.myntra.com/handbags/anekaant/anekaant-off-white-embellished-sling-bag/14167578/buy,,,,,,,,,,,
Women Navy Blue Solid Crop Pure Cotton Top,Miss Chase,"                ?824
",https://www.myntra.com/tops/miss-chase/miss-chase-women-navy-blue-solid-crop-pure-cotton-top/7474219/buy,,,,,,,,,,,
Women Solid Sweetheart Neck Blouson Crop Top,Trendyol,"? 1,594",https://www.myntra.com/tops/trendyol/trendyol-women-solid-sweetheart-neck-blouson-crop-top/20197842/buy,,,,,,,,,,,
Women Stylish Black Self-Design Tulle Dress,MISH,"? 1,165",https://www.myntra.com/dresses/mish/mish-women-stylish-black-self-design-tulle-dress/16595754/buy,,,,,,,,,,,
Women White Open Toe Flats with Bows,Shoetopia,? 539,https://www.myntra.com/flats/shoetopia/shoetopia-women-white-open-toe-flats-with-bows/14713152/buy,,,,,,,,,,,
Women Black Solid Lightweight Leather Jacket,Leather Retail,"?2499
",https://www.myntra.com/jackets/leather-retail/leather-retail-women-black-solid-lightweight-leather-jacket/14455416/buy,,,,,,,,,,,
Women Blue Washed Denim Straight Skirt,Roadster,? 674,https://www.myntra.com/skirts/roadster/roadster-women-blue-washed-denim-straight-skirt/11118508/buy,,,,,,,,,,,
Pack Of 2 Gold-Toned & Gold-Plated Layered Necklace,Vembley,? 359,https://www.myntra.com/necklace-and-chains/vembley/vembley-pack-of-2-gold-toned--gold-plated-layered-necklace/16588682/buy,,,,,,,,,,,
Women Grey Lens & Gold-Toned Square Sunglasses FST 22423 C4,FEMINA FLAUNT,Rs. 2680,https://www.myntra.com/sunglasses/femina-flaunt/femina-flaunt-women-grey-lens--gold-toned-square-sunglasses-fst-22423-c4/19004064/buy,,,,,,,,,,,
Set Of 11 Silver-Plated & Toned Stones Studded Oxidised Finger Rings,Jewels Galaxy,? 431,https://www.myntra.com/ring/jewels-galaxy/jewels-galaxy-set-of-11-silver-plated--toned-stones-studded-oxidised-finger-rings/20303268/buy,,,,,,,,,,,
Women Silver-Toned 925 Sterling Silver Cubic Zirconia Rhodium-Plated Link Bracelet,Zavya,"? 2,286",https://www.myntra.com/bracelet/zavya/zavya-women-silver-toned-925-sterling-silver-cubic-zirconia-rhodium-plated-link-bracelet/17359854/buy,,,,,,,,,,,
Women Green Woven Legacy Straight High-Low Kurta,Taavi,"? 1,299",https://www.myntra.com/kurtas/taavi/taavi-women-green-woven-legacy-straight-high-low-kurta/7033887/buy,,,,,,,,,,,
Women Flared Low Jeans,H&M,"?1609
",https://www.myntra.com/jeans/hm/hm-women-flared-low-jeans/20412354/buy,,,,,,,,,,,
Women Grey Self Design Pullover,Mast & Harbour,"?1749
",https://www.myntra.com/sweaters/mast--harbour/mast--harbour-women-grey-self-design-pullover/5633254/buy,,,,,,,,,,,
Women Black Solid A-Line Sustainable Skirt,High Star,"?769
",https://www.myntra.com/skirts/high-star/high-star-women-black-solid-a-line-sustainable-skirt/13265580/buy,,,,,,,,,,,
White & Navy Blue Striped Crop Top,DOLSU,"?617
",https://www.myntra.com/tops/dolsu/dolsu-white--navy-blue-striped-crop-top/18695694/buy,,,,,,,,,,,
Basic Jumpsuit with Ruffles,HERE&NOW,"?989
",https://www.myntra.com/jumpsuit/herenow/herenow-basic-jumpsuit-with-ruffles/21443010/buy,,,,,,,,,,,
Women Checked Square Neck Crop Top With Shorts,iki chic,"? 1,286",https://www.myntra.com/co-ords/iki-chic/iki-chic-women-checked-square-neck-crop-top-with-shorts-/21956184/buy,,,,,,,,,,,
Women Pink Woven Design Wedges,ZAPATOZ,? 679,https://www.myntra.com/heels/zapatoz/zapatoz-women-pink-woven-design-wedges/14479266/buy,,,,,,,,,,,
Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,Khushal K,"?1427
",https://www.myntra.com/kurta-sets/khushal-k/khushal-k-women-black-ethnic-motifs-printed-kurta-with-palazzos--with-dupatta/17048614/buy,,,,,,,,,,,
